phrase,label
ist süß,positive feedback
und ich weiß ihr seit 12 ich aber auch,not
Tolles Video 3,positive feedback
Ich find ihr habt das für euer alter sehr gut gemacht :D,compliment
macht weiter jungs !!!,encouragement
Wie immer Mega Mega gut 🎉 ❤️,positive feedback
voll cool,positive feedback
Aww das ist so süß,positive feedback
<b> - </b> Haha ein bisschen Aufgeregt ?!,not
Mega cooles Video !,positive feedback
Ich finde deine Art so toll,affection declaration
.,not
Du wirkst so toll auf deine Zuschauer !,affection declaration
Richtig toll geschnitten hast du das Video !,compliment
Familie Dr. Kleist,not
nein ich auch,agreement
Heiko du 3.74 auf das Video gepokert Alles klar hab sccren ich werde das schicken,not
Roman ist der beste,affection declaration
mega gut,positive feedback
1.,not
ich fands eigentlich relativ gut :-),positive feedback
werd mir das buch vllt zusammen mit meiner mama kaufen :D 2.,not
ich mag sie eigentlich,affection declaration
", gerade weil sie so dumm tut . ich glaub nicht dass sie wirklich so blöd ist :D",not
Echt toller Song :D,positive feedback
begaaaaabte Sänger ;D,compliment
Das ist geil,positive feedback
Du bist ein Bildhübsches Mädchen Luna,compliment
",",not
das Video hat mir sehr gut gefallen,positive feedback
du kannst übrigens sehr schön Singen wie ich finde,compliment
. Und Leute lest euch die Info-Box durch bevor ihr das Video kuckt . Trotz allem finde ich das du ein wenig viel Haut gezeigt hast und du nicht vergessen sohltest das du auch Jüngere Zuschauer hast . Lg Lena :),not
geiles Lied,positive feedback
Geil 😘,positive feedback
Roman 3,affection declaration
Soooo süß dein erstes video 😂 💕,positive feedback
sooo schön für dich so viel im leben erreicht zu haben 😚,compliment
"also ich find es eigentlich voll in ordung , was die anderen haben ey",not
so ein video zu machen ist nicht ganz ohne,implicit
und,not
singen können sie auch,compliment
also was habt ihr dann noch ??,not
daumen hoch :D,positive feedback
hammer geil . !!!,positive feedback
Ihr seit verdammt hübsch . !!!,affection declaration
Ich versuch nicht Negativ zu klingen !,not
Mal ein Lied welches mir gefällt,positive feedback
",",not
weiter so ;),encouragement
Ich brauch ca. ne halbe Stunde im Bad 😂,not
💛,positive feedback
eine sehr sehr coole Parodie 😘 😘,positive feedback
Cool,positive feedback
ich liebe Heiko ..... oder Roman,affection declaration
Ich brauche mehr als 1 Stund im Bad 😂,not
❤️,positive feedback
Ich finde Daniela Katzenberger witzig :D,compliment
ich mag sie :p,affection declaration
und,not
ich finde du hast das gut gemacht :),compliment
auch weil du einefach deine eiegene Meinung geäusert hast,not
:*,positive feedback
du siehst richtig hübsch aus,compliment
und,not
ich finde das mit den haaren auf einer seite und der mütze drüber voll schön,compliment
", aber ich würde die mütze nicht so tief runter ziehen :) was sagt ihr dazu ? :D",not
hast du abgenommen ? 3,implicit
Die Leute dort tun mir so leid :(,sympathy
Ich bin ein Mädchen und brauche 15 Min . Um genau fertig zu sein und auch 5 Min um zu frühstücken,not
😍,positive feedback
😊,not
Mehr Videos bitte 😍 👍 👍,encouragement
#SnapchatArmy gizem-1606,not
Ich liebe dieses Lied 😍 ❤️,positive feedback
@MexiUndCo haha ja :D aber,not
er is echt gut ;),compliment
DieLochis ihr macht das immer voll geil,compliment
macht weister,encouragement
weiterrrr ❤ ❤ ❤ ❤,encouragement
Ihr seid die geilsten youtuber der Welt,affection declaration
Aber wann kann man ihn herunter laden ?,not
super Parodie,positive feedback
einfach nur geil,positive feedback
weiß nicht,not
bist n ziemlich sympatischer typ,affection declaration
"aber hast ( sei nicht beleidigt ) so ne bisschen schwule ader ... ansonsten netter versuch ,",not
coole haut,compliment
Ne Stunde im Bad ungefähr 🤪,not
❤️ ❤️,positive feedback
hahaha ich hab bei jedem video ein lachkick,ambiguous
❤,positive feedback
"Luna ich liebe deine videos , dieses ist wie alle anderen super geworden",positive feedback
und,not
du hast so recht mit liebe bedeutet schwäche,affection declaration
~ lea,not
❤️,positive feedback
Das is so toll von euch 3,compliment
Ich werde auf jeden Fall spendem,not
3,positive feedback
Total Super,positive feedback
Die Tipps sind voll gut,positive feedback
",",not
danke für die Mühe Leute :)),gratitude
beste Parodie forever,positive feedback
Wie wunderhübsch sie ist * - *,compliment
ich mag deine videos total :),positive feedback
Cool,positive feedback
könnt ihr bitte ein Parodie Song mach von justin bieber love me bitte bitte,not
irgendwie er ist süüs,affection declaration
ich glaube jeder liebt roman,implicit
:-D,positive feedback
Du bist wirklich WUNDERSCHÖN 😍 ❤️,compliment
Tolles Video ❤️,positive feedback
Lol :D,ambiguous
"aah . :'D man merkt so toll , dass du aufgeregt bist ! xD",not
das is so putzig ^.^ & voll sympthatisch ( :,affection declaration
ich hab' dich fröhlich gemacht :D,not
es werden dich noch ganzganz viele leutz abonnieren,encouragement
.. weil alle ebru lieben & schön brav auf sie hören x ),not
Super Video !,positive feedback
Die Tipps werde ich mir merken :),positive feedback
PS :,not
Deine Frisur finde ich heute sehr schön :),compliment
Ich liebe dieses Video ♥ . ♥,positive feedback
Ich wuerde mich super ueber das paket freuen . Gerade weil ich im moment enorme probleme habe .. hab schon vieles ausprobiert aber noch nichts gefunden .,not
Dein Video ist mal wieder super !,positive feedback
Ich mag deine symphatische art . :),affection declaration
daumen hoch !,positive feedback
😂 😂 ✌ ✌ ✌ ✌ ✌ ✌ ✌ ✌ ✌ ✌ ✌ ✌ ✌ ✌ ✌ ✌ ✌ ✌,positive feedback
Ich habe gestern geträumt das ich euch an gerufen habe und ich dann so euch gekommen bin ich war so glücklich und als ich auf gewacht bin und ich merke das nur ein schönes Traum war ich bisschen sauer !,implicit
XD,not
ROMAN HEIKO : ich liebe euch,affection declaration
ich werde eure Fan für immer bleiben,group membership
Mega cooles Video,positive feedback
.,not
Und hübsche Luna :),compliment
Cool,positive feedback
Sehr cool,positive feedback
Ach übrigends,not
heiko deine haare sehen im moment evht cool aus roman deine eh ! ❤️ ❤️,compliment
ich schlaf immer in viel zu großen ( jungs- ) pulis :),not
und daaruum du siehst in dem video so schön aus !! * - *,compliment
gute Review :)),positive feedback
mich würde deine lieblingsbücher undsoo interessieren .,not
33,positive feedback
OMG wie cool ihr wart in Frankfurt in meiner Heimatstadt !,positive feedback
Manno ich hane euch nicht getroffen :'(,not
Ich Lispel auch meisteens :D,not
♥,positive feedback
Habe euuch auf Facebook gepostet,not
;* * ;),positive feedback
Geilo,positive feedback
OOOohhhhn Heiko du siehst so süß :-),compliment
cooles video,positive feedback
cool,positive feedback
geil,positive feedback
Geil,positive feedback
Ich bin sprachlos,positive feedback
..,not
Das Video hat mich total umgehauen 💜,positive feedback
Du kommst immer auf so tolle ideen ! :),compliment
da waren richtig viele tipps dabei die einigen wahrscheinlich echt helfen werden :),not
sooooo geeeiiilleees lied,positive feedback
ich find es besser als das original :D,positive feedback
one,not
aussehen tust du auch wunderschön mit mütze und jeansjacke :),compliment
Der Song ist cool,positive feedback
KUNST AMK !! 1 ! 1 ! 1 !! 1 ! 1 ! 1 ! 1 ! 1 ! 1 !! 1,positive feedback
Das Lied ist so gut und Cool,positive feedback
😘 💍 ♥,positive feedback
"Sie sind doch nicht cool , sie sind die besten",affection declaration
ich möchte euch unbedingt mal life sehen !!!!!! :),implicit
ihr seid so geil cool,affection declaration
",",not
hab au abonniert und bekomme aus den lochishop Sachen Poster Pulli ( durchgehen online ),positive feedback
wer ist euer jüngster fan ? würde mich über eine Antwort freuen PS :,not
ihr seid so cool,affection declaration
Nice 😍 😘,positive feedback
so cool,positive feedback
Einfach hammer die videos und lieder,positive feedback
ich lieb das lieb,positive feedback
jaaaaaa liebe euch ❤,affection declaration
♡ ♡ ♡ ♡,positive feedback
geil geil geil,positive feedback
eyy lochis ihr seid so cool,affection declaration
....,not
ich abonniere alle Videos,positive feedback
So süß,positive feedback
Seid die coolsten die ich in YouTube kenne,affection declaration
Das Lied ist so hinreißen süß von euch beiden gesungen :-*,compliment
Geil 😉,positive feedback
Ich bin so stolz auf dich Und bin froh dich mein Idol nennen zu dürfen,affection declaration
". Und weißt du wieso ? Vielleicht bin Ich nicht von Anfang an dabei , aber Ich bin treu .",not
Ich bin ein treuer Saminator,affection declaration
.,not
"Ich steh dazu ein Vorbild zu haben , welches sich Sami Slimani nennt",affection declaration
". Auch wenn Ich manchmal ausgelacht werde , weil Ich jemanden toll finde lass Ich mich nicht einschüchtern . Ich kenn deine Vorgeschichte - Vielleicht nicht alles , aber",not
Ich finde es beeindruckend was du aus dir gemacht hast,affection declaration
.,not
"Du hast mir gezeigt , dass es sich zu kämpfen lohnt",positive feedback
.,not
Ilysm ok ? ♥,affection declaration
geilo 😍,positive feedback
das beste lied,positive feedback
erinnerst mich an das mädchen in dem video von cro in easy :D ist positiv gemeint :) 3,compliment
cool,positive feedback
Das ist echt schön geworden Luna ! 3,positive feedback
Das lied hab ich in meiner Playlist bis vorgestern nicht gewusst ... Als ich alles Durchging ( Playlist ) Und ich das gehört hab :,not
sofort mit gesungen 😂 🤘 😋,positive feedback
Du hast dich verändert und bist immer besser geworden 💜,compliment
+ DieLochis,not
mein like habt ihr :),positive feedback
ihr macht momentan echt unterhaltsame Videos,compliment
weiter so :),encouragement
Cool,positive feedback
könded ihr ein neues colles Lied zum beschbill ein Hellowin Lied machen aber,not
ma muss sagen ihr habt colle lider gemact,compliment
+ Dilara C.,not
geiles profilbild :),compliment
Arijon,not
😝 ❤️ 😍,positive feedback
Geil,positive feedback
schon wieder so perfekt omg 🙈,positive feedback
Dieses Video war eine gute idee,positive feedback
für leute die noch nie ein date mit einem mädchen hatten und kurz davor sind und nicht wissen wie sie sich verhalten sollen,not
haste echt gut gemacht,compliment
natürlich brauche ich sowas nicht :D :D :D :D,not
wow ich finde das voll toll von dir,compliment
ich habe auch etwas geändet und,not
es tut mir voll leid :(,sympathy
...,not
richtig tolles Video,positive feedback
da waren echt ein paar Tipps dabei die ich noch nicht kannte und bestimmt mal ausprobieren werde ;),positive feedback
Roman gut ge songen,compliment
Du könntest so eine film oder auch buch kritikerin werden du machst das echt gut :D,compliment
Das das ein klo´buch ist da musst ich aber lachen ... Wenn die Daniela das sehen würde :O ! lol,not
Mach das doch mal öfter wäre ne coole sache,encouragement
. Ich find die Katze nicht schlecht,not
ihre sprüche sind echt gut,compliment
...,not
coooooool,positive feedback
MEGA GEIL !!!,positive feedback
cooooooooooooooooool,positive feedback
Also das ist echt Gut geworden Jungs ! ( :,positive feedback
Macht weiter so ! ^^,encouragement
Vorallem eure stimmen .. echt toll ( :,compliment
gefällt mir sehr ^^,positive feedback
kraaaaass,positive feedback
Finde dich manchmal schon ein wenig Strange :D Aber aber genau das macht dich aus also das du anders bist als andere,compliment
und,not
ich liebe deine Sichtweisen :),compliment
is gut geworden 👍 ne super,positive feedback
Wie unglaublich schön du in diesem Video aussiehst * - *,compliment
Deine Frisur ist sehr sehr schön und das Make-up passt super dazu :)),compliment
Mich würde interessieren wie du die Frisur gemacht hast :),not
...,not
nicht schlecht,positive feedback
..,not
bitte antwortet,not
ich will euch treffen 😍,affection declaration
"Schön zu hören , dass man nicht die einzige Person ist , die mit Pickelmalen kämpft :) Könntest du eventuell mal Tipps gegen Pickelmale geben ? Ich meine die richtig schlimmen , die auch mal Monate oder Jahre bleiben , wenn es dagegen überhaupt was gibt ?! ansonsten ,",not
"super Video , daaruum :))",positive feedback
super,positive feedback
ihr seit cool,affection declaration
Wo bekommt man diese geile leder jacke von roman her ? :),positive feedback
oh wie süß vondir ! :),positive feedback
Einfach nur geil 😍 😍 😍 😄 😄,positive feedback
Schau ihre Videos jetzt an,not
Sie sind so heiß,affection declaration
und,not
besser viel viel viel besser geworden,compliment
und,not
so gut im singen im Videodrehen :),compliment
cool,positive feedback
Cooles VIDEO !!!,positive feedback
weiter Jungs ❤ ❤,encouragement
heiko hast ja sixpack ❤ ❤ ❤ 👅,compliment
Heiko willst du mich heiraten ? :D -3,implicit
3 3 3,positive feedback
voll cool,positive feedback
❤ 👍,positive feedback
voll süß : 3,positive feedback
mega Ratschläge :-),positive feedback
genau wegen sowas liebe ich deine Videos :*,positive feedback
Cool,positive feedback
wow echt !! Respekt !!,compliment
voll toll ♡,positive feedback
gutes Video :),positive feedback
ich brauch morgens 10minuten im Bad und 5minuten zum frühstücken ( würde ich gerne länger aber ich schlafe zu gern ^^ ) und duschen tu ich auch abends - ich bin ein Mädchen,not
❤,positive feedback
😆 😆 😆 😆 😆,positive feedback
Ich mack die Lochis,affection declaration
Ihr seit echt gut und sorgt für gute stimmung undso ;D,compliment
Aber mal ne frage werdet ihr nicht jeden Tag von irgendwelchen Leuten angesprochen ? oder ist das ne so extrem ? ;*,not
alles von euch sind mäga Hits,positive feedback
naja nicht ganz alles war tostbrot eüre erste singel ❇,not
Ķönnt ihr ( roman und heiko ) mal ein lied von markforster zum beispiel flash mich oder bauch und kopf,not
ich mag euchtotal,affection declaration
weiter so,encouragement
"Dass Roman am Anfang so mit der Stimme runter geht , ist mit Absicht ! In dem richtigen Video von David Guetta ist das auch ungefähr so ,",not
aber diese Parodie ist echt geil !,positive feedback
Gesang : Cool ^^ Text : GEILO,positive feedback
DieLochis sind und bleiben cooooooool !,affection declaration
"( Bin die einzige in der Klasse , die DieLochis mag : o ^^ )",not
Das lied ist so geil mann,positive feedback
die lochis sind die beeeeeessssten,affection declaration
Lieblingsmusik ♥ ♥ ♥ ♥,positive feedback
Lara bella,not
ja omg,agreement
Ich bin ein Mädchen und brauch 20 Minuten ! Ps,not
meine Schwester liebt euch und war schon auf der #Zwilling Tour und hat auch ein Ticket für die #Zwilling18 Tour,positive feedback
es wäre mega von euch wenn ihr ihr in eurem nächsten Video ein shoutout gibt ! Sie heißt Mia Schulte !,not
❤️ ❤️,positive feedback
geiles lied ! ;),positive feedback
"Ich hätte echt mal das Bedürfnis mit dir so zu reden , weil du bestimmt so tolle Ansichten hast",compliment
ja,agreement
Ich finde euch sooooooo cool 😁 😁 😁 😁,affection declaration
also diese mascara-technik is ja echt der wahnsin :D :D,positive feedback
da hat man sich den kajal doch glatt gespart :D :D :D :D,not
ich auch,not
♡ ♡ ♡ ♡ ♡ ♡ ♡ ♡ ♡ ♡ ♡ ♡ ♡ ♡ ♡ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥,positive feedback
cool,positive feedback
Richtig grasses Lied,positive feedback
Ich bin euer gröster Fan !,group membership
"Ihr macht im Videobereich noch ein paar Fehler ,",not
Stimme eigentlich top,compliment
", ich finde es sogar besser wie von Alex Bexi weil er den Höhenpunkt im Lied nicht drauf hat deshalb TOP !",not
"Also ich trage im Sommer , entweder Boxershorts meines Freundes und ein Tanktop oder einen kurzen Pyjama ( also auch kurze Hose und Top ) und im Winter einen langen Pyjama ( Pulli und lange hose ) :D Gibt immer süße bei C A :D und ich muss dir traurigerweise sagen , dass es letztes Jahr solche Einteiler bei H M gab :( Hätte ich mal gewusst , dass du so einen suchst :(",not
Schönes Video,positive feedback
und ich halte meine Augen auf !! :D 3,not
cool,positive feedback
Geiles Video !,positive feedback
Ihr seid echt voll cool,affection declaration
ich liebe euch,affection declaration
haste recht,agreement
...,not
ihr seid echt gutttttttt,compliment
#,not
lochi vs lochi,encouragement
Du bist echt so süüüß :),affection declaration
voll lieb von dir mit den Videos :),compliment
ich finde das echt Super nett von dir :-*,compliment
#1 .,not
Bist ein super Kerl ;),affection declaration
#2 . Du hast absolut recht !!! #3 .,not
Spitzenklasse Videos !,positive feedback
cool,positive feedback
🤗 ❣ 👌🏻 😍,positive feedback
ich hab nen dumen hoch gegeben,positive feedback
Tolle Tipps :-),positive feedback
wie unsicher du füher noch warst ;) . Süß,compliment
.,not
So süß,positive feedback
wie alt seid ihr,not
+ Kilian Klyk,not
😘,positive feedback
#_ # _________ *_* ♥,positive feedback
geil,positive feedback
super cool 3,positive feedback
wow mal seit lange eine gute parody,positive feedback
weiter so jungs,encouragement
ihr seid die besten,affection declaration
ich hab auch ein yutub video wie ich singe das video heißt junge singt sweet und dort singe ich die lochis ☺ und könnd ihr mich bitte abonniren 😏 😔 und in die kommentare schreiben bitte ☺ 😊 😀 😁 😄 😎,not
Du schaffst es echt 8 Minuten lang über pijamas zu reden !,not
Wow du bist die beste :D,affection declaration
ich würde dich voll gerne mal in nem kinofilm sehen ! :D,positive feedback
du bist so schön !,compliment
schade das man nicht so oft liken kann wie man will,implicit
die sind ech geil,affection declaration
Hab das Buch 5 mal gelesen,positive feedback
Gerade wo du angefangen hast du weinen musste ich auch 😔,positive feedback
"du sagst nichts , doch man versteht alles ! ♥",positive feedback
Das Community-Video hat mir richtig gut gefallen !,positive feedback
So vielseitig,positive feedback
...,not
mach bitte öfter mal so was . ;),encouragement
Und,not
"einige von den Leuten sollten echt zum Youtuber werden , so sympatisch wie die sind",encouragement
. Die schon welche sind werde ich jetzt erst mal unter die Lupe nehmen :D,not
Top !,positive feedback
Mach mehr solche videos !,encouragement
ich mag die,positive feedback
.,not
deine stimme ist wunderschön,compliment
<b> . </b>,not
so eine Inspiration 3,affection declaration
Boa musste das mit den Taschentüchern mit rein ? 😣 😂 😂 😂,not
❤,positive feedback
fast so gut wie justin bieber,ambiguous
.,not
GEILE SACHE :D,positive feedback
GEIL,positive feedback
aber beim nächsten Video bitte nicht einschlafen,not
"Lippen etwas zu viel übermalt , aber",not
das video ist richtig gut geworden,positive feedback
. Und,not
die Message die dahinter steckt bringt einem echt zum nachdenken,positive feedback
",",not
mach weiter so . xx,encouragement
R. Und liebe grüße aus Österreich !,not
😚 😚 😚 😚 😚 😚 😚 ich 💟 💟 💟 euch 😚 😚,affection declaration
"Ich find es ziemlich cool , dass du darüber eine Review machst . :D",positive feedback
"die Parodie Lieder von euch sind geil , Lochis",positive feedback
Finde einige Tipps echt hilfreich,positive feedback
und würde mich supermegadoll über ein paket freuen : 3,not
Echt super Video !,positive feedback
Und dein Look .... * - *,compliment
Geile Parodie :),positive feedback
Lochis ich liebe euch 💗,affection declaration
Sie ist schön weil sie es auch innerlich ist !!,compliment
Voll anders :D :* But good ;),positive feedback
Ich schlaf immer im Gammellook haha .,not
Du siehst echt verdammt schön aus in dem Video !,compliment
Sau gut,positive feedback
so zimlichch die erste Parodie wo der Text zu den original Text passt und zur Melodie,positive feedback
Nike Steininger,not
💋 👄 😍 😗,positive feedback
Cool,positive feedback
Das Video kam gerade gut,positive feedback
denn ich hab grad echt nen miesen bekommen und muss morgen in die Schule - . -,not
Hier hattest du noch Probleme mit dem Licht hahaha und,not
heute läuft alles perfekt,compliment
ich hoffe du hast meine Kommentare schon zu sehen bekommen und wenn man sich das Video anguckt und jetzt die vor einer Woche sieht man einige Unterschiede aber,not
was gleich ist ist eben die Liebe wie du das machst und das lächeln und du hilfst wirklich 😍 💕,compliment
soo cool 👌,positive feedback
Beste ❤ ❤ ❤ ❤ 😍,positive feedback
Du siehst in dem Video soo hübsch aus !! *_*,compliment
kannst du ein tutorial zu deinem makeup machen ?,not
Und nützen stehen dir So gut :)),compliment
ich trage meist eine lange pyjama pyjama 3 Hose und ein Top oder t Shirt :)),not
@thebockel garnicht,not
die sind voll süß,affection declaration
Nice Parodie :D,positive feedback
"Macht weiter so , Jungs ! 3",encouragement
Gutes Video,positive feedback
mein HERZ spielt spielt verrückt <3 ',affection declaration
Kaum zu glauben dass er jetzt schon über eine Millionen Abos hat ! Ich erkenne ihn gar nicht mehr in diesem Video . Ich kann das gar nicht fassen !! da war er noch sooooo schüchtern,not
☺ ❤ ❤ ❤ ❤ ❤ ❤ ❤ 💋 👍 👍 👍 👍 👍 🌴 🍃 🌺 🌺 🍃 🌴 💛 🌻 🌻 🌻 🌻 💚 🌻 🌻 😍 🌻 🌻 🌻,positive feedback
Love YOU,affection declaration
🌻 🌻 🌻 🌹 🌻 🌻 💚 🌻 🌻 🌻 🌻 💛 🌴 🍃 🌺 🌺 🍃 🌴,positive feedback
Also Daaruum du siehst in dem Video besonders hübsch aus !,compliment
Die Mütze steht dir einfach super gut :),compliment
Könnt ihr Heiko und Roman eine parodi über die sengerin Taylor swift tun BITTE,not
ihr seid mein vorbild !!!!!!!!,affection declaration
Wer die Lochis auch so feiert wie ich gibt ein Like,positive feedback
Euch gibs kein zweites mal,affection declaration
cooles lied,positive feedback
du hast soooo abgenommen ! :),ambiguous
Sehr berührend das Video ♥,positive feedback
Danke für diese Videos Luna ♥,gratitude
cooles video,positive feedback
Omg wie süß ❤️ ❤️ ❤️,positive feedback
Ich liebe deine Videos so unfassbar !,positive feedback
Deine Stimme ist ein Traum 3,compliment
Ich liebe deine Art von Videos,positive feedback
",",not
"mir gefällt es total dass du andere Sachen ausprobierst , dich nicht nur auf bestimmte Videos , die jeder macht beschränkst und somit dein eigenes Ding auf YouTube machst !",compliment
Riesen Respekt,compliment
",",not
ich guck deine Videos schon ewig und werde auch nicht damit aufhören ! 3,positive feedback
Die Tipp's sind echt alle gut,positive feedback
", Babypuder abends aufs gesicht auftragen hilft auch richtig gut :-)",not
Das beste Vedeo der Welt,positive feedback
macht so weiter,encouragement
+ Romina Hartmann,not
Ja hast recht <3,agreement
ihr seit voll süüüß * ___ *,affection declaration
Das ist das beste von euch ! * . * ♥ ♥,positive feedback
ich finde du solltest öfters buch reviews machen ! :),encouragement
super nice,positive feedback
Reid ihr öfter richtig müde,not
Tolles Video,positive feedback
", und",not
danke an die die mit gemacht haben für die tollen Tipps :),gratitude
Du bist einfach so süß !,compliment
Coole musik,positive feedback
omg ihr sing voll gut,compliment
und,not
ihr seid voll süß !!!!,affection declaration
i hob euch gggggggggggggggggg doll lieb Eure : Anna 3,affection declaration
Wer findet Heiko total heiß bei 2:28 😏 😍 😍,affection declaration
ich schicke dieses Musik fürh meinen Freunde weil es ist geil,positive feedback
total coole idee mit der comunity !,positive feedback
und,not
die tipps werde ich bestimmt mal ausprobieren :),positive feedback
die lochis sind sooo cool,affection declaration
"Solche videos finde ich super , und vor allem hilfreich ! 3",positive feedback
ihr seit so cool ☺,affection declaration
"aber das sind viel zu viele silben , um das für das lied charakteristische wiederholen der dritten silbe im refrain zu machen , und klingt meiner meinung nach echt schlecht ( wenn du jetzt eine referenz zu alex gemacht hast ) .",not
finde die sinngemäße übersetzung besser als die wörtliche in dem fall :),positive feedback
haben die jungs gut gemacht,compliment
Tolle Idee,positive feedback
Tolles Video !,positive feedback
du bist so eine Süße,affection declaration
",",not
mach weiter so :) ♥,encouragement
"super , super video :D",positive feedback
und,not
ich finde solche community videos toll,positive feedback
",",not
solltest du öfters machen :),encouragement
das stimmt nich finde ich alexibexi macht das ganz gut ich hab zwar gedacht kann er nich mal englisch singen aber,not
deutsch hört sich bei ihm auch gut an,compliment
!,not
Hi,not
ihr seit cool,affection declaration
ist grad eins meiner lieblings Songs !,positive feedback
weiter so Roman und Heiko ! 😍,encouragement
du bist so hübsch !,compliment
also ich schlafe immer in Jogginghose und Top :),not
waaaaahnssssiiin,positive feedback
Ich freue mich wirklich jeden Tag abends im Bett deine Videos zu gucken . :),positive feedback
Dieses Video ist super !,positive feedback
Tolle Sache mit den mehreren Videos in einem . :) 3,positive feedback
Liebe Grüße !,not
😍 😍 😍 😍,positive feedback
liebe euch,affection declaration
Weil sie coole und winzige Lieder machen,compliment
cool,positive feedback
Das Lied ist geil,positive feedback
weiter so,encouragement
heiko mach das nicht,not
deine haare sind schön,compliment
awwwww,ambiguous
"Das ist wirklich ein richtig schönes Video , Luna",positive feedback
.,not
"Du hast immer dieses gewisse etwas , dieses Einzigartige in dir , sowohl auch in deinen Videos , was mir richtig gut gefällt und ispiriert",positive feedback
,not
"Du hast immer dieses gewisse etwas , dieses Einzigartige in dir , sowohl auch in deinen Videos , was mir richtig gut gefällt und ispiriert",compliment
.,not
Großes Lob von mir :),compliment
mach weiter so . 💕,encouragement
"Echt coole Songparodie , ich finde die beste seit langem",positive feedback
) .,not
Höre sie mich schon zum gefühlten 1 Mio. Mal an !!!!,positive feedback
Ich liebe ech,affection declaration
macht eingach weiter so !!!! 3 3 3,encouragement
Voll COOL,positive feedback
Cooles Lied,positive feedback
voll krass,positive feedback
Wow ... Ich weiß garnicht was ich sagen soll !,not
Ich werde mir das Lied jetzt runter laden ! ❤,positive feedback
ich finde deine Videos unfassbar aufwendig,positive feedback
und oh man,not
ich weiß nicht wie ich dir zeigen kann wie sehr ich dich und deine Videos liebe ❤ ❤ ❤ ❤ ❤,affection declaration
,not
ich weiß nicht wie ich dir zeigen kann wie sehr ich dich und deine Videos liebe ❤ ❤ ❤ ❤ ❤,positive feedback
Wo kommt denn deine tolle Mütze her ? :),positive feedback
"Hallo Daaruum ,",not
tolles Video,positive feedback
und,not
kreative Umsetzung,compliment
.,not
Weiter so,encouragement
.,not
Das ist so wundervoll ! :),positive feedback
"mhm gesanglich jetzt nich so toll .. hört sich an einigen stellen bisschen nach autotune an , die töne sind nich sauber gesungen ,",not
"die übersetzung find ich gut , ihr habts hinbekommen das der text auf deutsch auch noch sinn macht ;)",compliment
:),positive feedback
ihr seid der hammer 3,affection declaration
ihr habt es echt drauf .. :),compliment
und,not
beide verdammt hübsch :),compliment
omg fabian war da !!! 👑,positive feedback
Du siehst immoment sehr Traurig aus .. :( Ist was passiert ?,not
♥,positive feedback
Ich hofee dir gehts gut :),sympathy
Ich liebe dich Luna ♥,affection declaration
Ich liebe euch die lochis,affection declaration
"Das Video hat irgendwie die gleiche Funktion wie das Fanfiction- Video , ich kann einfach nicht aufhören mir das anzugucken . ♡ ♡",positive feedback
* - * ❤,positive feedback
total geil,positive feedback
😃,not
beste Parodie :),positive feedback
Ich will den Hund ( teddy 😂 ) weil er mega süß ist,positive feedback
und ich so einen immer haben wollte . hoffe ich bekomme es und,not
ich Feier euch so hart,affection declaration
.,not
Geilo,positive feedback
haha :D,ambiguous
geil,positive feedback
"ich feier aber den teil <b> meine augenringe größer als mount everrest , check nichts mehr ich will nur noch ins bett zurück",positive feedback
. </b> ^^,not
nooooiiiiiiiccccceeeee :p,positive feedback
Könnt ihr trotzdem irgendwann wieder ein Lochi vs Lochi machen !!??,encouragement
Thanks :),not
"<b> Die Legende besagt , DieLochis Antworten wenn man früh dran is </b>",not
😍,positive feedback
HEL 😘,affection declaration
Wirklich cool 😎,positive feedback
dieses video is soo geil :D,positive feedback
Heiko du bist sooooooooooooo süß,affection declaration
ich liebe deine Videos,positive feedback
...,not
auch wenn du nicht viel sagst sind sie ausdrucksstark,positive feedback
.,not
Dner du bist der beste,affection declaration
ich lebe in Österreich und ich liebe auch das essen weil wir fast alles selber machen ❤ ❤ 😘 👍,not
"Hab mich gefreut , dass du mal eine Buchvorstellung gemacht hast",positive feedback
.,not
Weiter so ! 3,encouragement
Von Daniela Katzenberger halte ich ehrlich gesagt nicht viel . Ich finde sie manchmal echt zu blöd ... Aber das macht ja nichts .,not
Ich freue mich schon auf deine nächste Buchvorstellung,positive feedback
. LG =D,not
Danke dass es dich gibt,gratitude
.,not
Deine Videos wow,positive feedback
Hab grad eine Werbung von euch gesehen 😂,not
💖 ♥️ ♥️,positive feedback
sehr lustiges video ... :-D,ambiguous
Kul,positive feedback
Roman du hast die beste Frisour ever,compliment
Voll Geil !!!,positive feedback
Hab euch grade auf meinen Blog verlinkt :*,positive feedback
cooles lied,positive feedback
Das lied ist nice ;),positive feedback
Ja finde ich auch,agreement
Tolle Parodie ♥,positive feedback
super,positive feedback
Ich liebe das Lied so sehr 💛,positive feedback
Es ist so wunderbar wie dein Video 💙,positive feedback
Schönes Video :),positive feedback
danach ist man wirklich um einiges schlauer in Sachen Pickel durch die ganzen tollen Tipps !,positive feedback
hi,not
ich bin euer grösster fan,group membership
und bin erst 9,not
♡ ♡ ♡,positive feedback
Anna-M Behr Ne ich auch 😂,not
❤,positive feedback
Huch das video ist ja gut :D,positive feedback
